step,baseline__seed0,baseline__seed1,baseline__seed2,epsilon_only__seed0,epsilon_only__seed1,epsilon_only__seed2,eligibility_only__seed0,eligibility_only__seed1,eligibility_only__seed2,no_gaussian__seed0,no_gaussian__seed1,no_gaussian__seed2,gaussian_only__seed0,gaussian_only__seed1,gaussian_only__seed2,no_eligibility__seed0,no_eligibility__seed1,no_eligibility__seed2,gaussian_eligibility__seed0,gaussian_eligibility__seed1,gaussian_eligibility__seed2,full_gta__seed0,full_gta__seed1,full_gta__seed2
52,10.0,10.0,111.0,13.0,19.0,21.0,10.0,10.0,10.0,18.0,18.0,21.0,10.0,10.0,100.0,10.0,12.0,14.0,10.0,10.0,133.0,500.0,17.0,17.0
53,10.0,11.0,102.0,13.0,22.0,20.0,10.0,11.0,11.0,19.0,20.0,26.0,10.0,11.0,107.0,15.0,22.0,17.0,10.0,11.0,129.0,297.0,19.0,24.0
54,10.0,12.0,95.0,10.0,19.0,11.0,10.0,12.0,8.0,23.0,21.0,9.0,10.0,12.0,102.0,13.0,21.0,21.0,10.0,12.0,125.0,329.0,17.0,10.0
55,10.0,8.0,44.0,14.0,11.0,14.0,10.0,8.0,11.0,20.0,13.0,13.0,10.0,8.0,104.0,13.0,20.0,15.0,10.0,8.0,123.0,287.0,10.0,13.0
56,9.0,9.0,93.0,16.0,24.0,21.0,9.0,9.0,10.0,12.0,13.0,17.0,9.0,9.0,107.0,20.0,13.0,16.0,9.0,9.0,121.0,291.0,10.0,17.0
57,9.0,10.0,23.0,17.0,22.0,21.0,9.0,10.0,10.0,11.0,22.0,18.0,9.0,10.0,104.0,17.0,66.0,14.0,9.0,10.0,125.0,500.0,18.0,14.0
58,10.0,11.0,37.0,13.0,31.0,15.0,10.0,11.0,10.0,19.0,27.0,19.0,10.0,11.0,106.0,16.0,20.0,12.0,10.0,11.0,125.0,229.0,27.0,17.0
59,10.0,12.0,31.0,14.0,24.0,13.0,10.0,12.0,11.0,29.0,21.0,13.0,10.0,12.0,63.0,11.0,54.0,18.0,10.0,12.0,119.0,81.0,22.0,13.0
60,10.0,9.0,18.0,10.0,14.0,14.0,10.0,9.0,9.0,49.0,15.0,14.0,10.0,9.0,101.0,11.0,69.0,11.0,10.0,9.0,113.0,500.0,19.0,13.0
61,9.0,9.0,22.0,15.0,15.0,17.0,9.0,9.0,10.0,20.0,15.0,24.0,9.0,9.0,99.0,12.0,53.0,17.0,9.0,9.0,112.0,500.0,18.0,20.0
62,9.0,10.0,29.0,13.0,22.0,20.0,9.0,10.0,10.0,13.0,19.0,21.0,9.0,10.0,108.0,12.0,20.0,20.0,9.0,10.0,108.0,229.0,16.0,15.0
63,10.0,10.0,28.0,13.0,24.0,22.0,10.0,10.0,10.0,25.0,19.0,16.0,10.0,10.0,114.0,13.0,15.0,15.0,10.0,10.0,113.0,455.0,17.0,15.0
64,10.0,10.0,28.0,18.0,18.0,20.0,10.0,10.0,10.0,23.0,22.0,27.0,10.0,10.0,118.0,13.0,18.0,12.0,10.0,10.0,114.0,500.0,18.0,12.0
65,10.0,10.0,24.0,13.0,22.0,18.0,10.0,10.0,10.0,29.0,20.0,17.0,10.0,10.0,120.0,11.0,31.0,19.0,10.0,10.0,121.0,277.0,25.0,22.0
66,10.0,9.0,28.0,10.0,21.0,15.0,10.0,9.0,9.0,21.0,19.0,15.0,10.0,9.0,110.0,8.0,56.0,12.0,10.0,9.0,108.0,500.0,15.0,11.0
67,10.0,9.0,18.0,15.0,15.0,13.0,10.0,9.0,8.0,22.0,16.0,12.0,10.0,9.0,105.0,15.0,32.0,13.0,10.0,9.0,101.0,500.0,14.0,12.0
68,9.0,9.0,26.0,15.0,10.0,21.0,9.0,9.0,10.0,17.0,16.0,18.0,9.0,9.0,102.0,16.0,21.0,16.0,9.0,9.0,104.0,162.0,19.0,17.0
69,8.0,12.0,18.0,21.0,20.0,11.0,8.0,12.0,9.0,13.0,38.0,14.0,8.0,12.0,100.0,14.0,42.0,11.0,8.0,12.0,111.0,500.0,30.0,14.0
70,10.0,11.0,25.0,13.0,14.0,16.0,10.0,11.0,10.0,18.0,18.0,17.0,10.0,11.0,105.0,19.0,53.0,15.0,10.0,11.0,116.0,331.0,32.0,17.0
71,9.0,10.0,24.0,21.0,36.0,17.0,9.0,10.0,10.0,13.0,30.0,21.0,9.0,10.0,114.0,22.0,22.0,15.0,9.0,10.0,118.0,500.0,32.0,15.0
72,12.0,11.0,21.0,14.0,19.0,12.0,12.0,11.0,9.0,21.0,18.0,16.0,12.0,11.0,115.0,13.0,33.0,12.0,12.0,11.0,116.0,260.0,16.0,12.0
73,10.0,10.0,21.0,12.0,16.0,15.0,10.0,10.0,11.0,30.0,15.0,11.0,10.0,10.0,119.0,18.0,14.0,11.0,10.0,10.0,115.0,500.0,19.0,14.0
74,11.0,9.0,89.0,21.0,15.0,14.0,11.0,9.0,9.0,15.0,15.0,14.0,11.0,9.0,113.0,12.0,64.0,11.0,11.0,9.0,108.0,320.0,19.0,13.0
75,9.0,9.0,97.0,26.0,15.0,20.0,9.0,9.0,10.0,24.0,15.0,29.0,9.0,9.0,116.0,19.0,60.0,13.0,9.0,9.0,113.0,229.0,24.0,24.0
76,9.0,10.0,45.0,17.0,18.0,13.0,9.0,10.0,9.0,19.0,19.0,15.0,9.0,10.0,104.0,19.0,17.0,16.0,9.0,10.0,110.0,242.0,17.0,16.0
77,10.0,9.0,95.0,13.0,18.0,15.0,10.0,9.0,10.0,19.0,19.0,14.0,10.0,9.0,103.0,13.0,62.0,11.0,10.0,9.0,111.0,301.0,33.0,11.0
78,9.0,11.0,104.0,15.0,16.0,22.0,9.0,11.0,10.0,26.0,13.0,31.0,9.0,11.0,113.0,14.0,54.0,15.0,9.0,11.0,118.0,261.0,22.0,25.0
79,9.0,13.0,98.0,19.0,24.0,14.0,9.0,13.0,9.0,13.0,23.0,12.0,9.0,13.0,114.0,13.0,30.0,13.0,9.0,13.0,113.0,48.0,36.0,13.0
80,10.0,8.0,100.0,13.0,14.0,19.0,10.0,8.0,10.0,42.0,15.0,19.0,10.0,8.0,113.0,11.0,49.0,18.0,10.0,8.0,107.0,300.0,18.0,18.0
81,8.0,12.0,97.0,26.0,22.0,19.0,8.0,12.0,9.0,21.0,26.0,18.0,8.0,12.0,111.0,18.0,25.0,15.0,8.0,12.0,117.0,458.0,27.0,18.0
82,14.0,9.0,94.0,13.0,15.0,13.0,14.0,9.0,9.0,37.0,15.0,12.0,14.0,9.0,103.0,15.0,59.0,13.0,14.0,9.0,105.0,500.0,23.0,13.0
83,9.0,11.0,101.0,19.0,13.0,17.0,9.0,11.0,9.0,17.0,13.0,20.0,9.0,11.0,76.0,18.0,15.0,19.0,9.0,11.0,79.0,500.0,19.0,15.0
84,9.0,11.0,100.0,21.0,17.0,15.0,9.0,11.0,9.0,14.0,17.0,15.0,9.0,11.0,17.0,16.0,54.0,12.0,9.0,11.0,110.0,500.0,26.0,16.0
85,9.0,9.0,102.0,16.0,15.0,24.0,9.0,9.0,10.0,17.0,17.0,30.0,9.0,9.0,17.0,15.0,52.0,17.0,9.0,9.0,115.0,491.0,23.0,19.0
