step,baseline__seed0,baseline__seed1,baseline__seed2,gaussian_only__seed0,gaussian_only__seed1,gaussian_only__seed2,gaussian_eligibility__seed0,gaussian_eligibility__seed1,gaussian_eligibility__seed2,full_gta__seed0,full_gta__seed1,full_gta__seed2
98,10.0,10.0,105.0,10.0,10.0,116.0,10.0,10.0,11.0,329.0,19.0,19.0
99,11.0,12.0,100.0,11.0,12.0,112.0,15.0,12.0,117.0,219.0,31.0,14.0
100,10.0,9.0,98.0,10.0,9.0,72.0,10.0,12.0,121.0,457.0,41.0,12.0
101,9.0,9.0,105.0,12.0,9.0,88.0,12.0,12.0,117.0,500.0,17.0,17.0
102,9.0,10.0,113.0,11.0,10.0,116.0,12.0,10.0,125.0,216.0,26.0,19.0
103,10.0,11.0,104.0,10.0,11.0,113.0,10.0,10.0,124.0,474.0,115.0,19.0
104,10.0,10.0,110.0,10.0,10.0,121.0,10.0,10.0,121.0,500.0,67.0,21.0
105,10.0,10.0,104.0,10.0,10.0,112.0,10.0,10.0,118.0,500.0,91.0,21.0
106,10.0,9.0,109.0,16.0,9.0,36.0,10.0,14.0,122.0,500.0,40.0,21.0
107,9.0,10.0,102.0,17.0,10.0,108.0,21.0,10.0,115.0,500.0,34.0,13.0
108,12.0,9.0,101.0,17.0,13.0,116.0,15.0,13.0,112.0,500.0,26.0,12.0
109,9.0,9.0,106.0,17.0,12.0,118.0,13.0,13.0,118.0,500.0,223.0,15.0
110,14.0,9.0,103.0,14.0,14.0,115.0,13.0,15.0,86.0,500.0,191.0,14.0
111,10.0,9.0,114.0,17.0,13.0,122.0,17.0,15.0,119.0,246.0,34.0,22.0
112,10.0,11.0,111.0,14.0,15.0,115.0,12.0,10.0,118.0,500.0,268.0,17.0
113,10.0,11.0,105.0,10.0,19.0,113.0,16.0,19.0,114.0,388.0,160.0,15.0
114,10.0,9.0,106.0,13.0,21.0,109.0,13.0,19.0,109.0,444.0,167.0,17.0
115,9.0,8.0,111.0,13.0,13.0,112.0,13.0,13.0,118.0,500.0,78.0,20.0
116,11.0,9.0,113.0,10.0,17.0,79.0,10.0,23.0,118.0,214.0,185.0,24.0
117,11.0,15.0,110.0,15.0,21.0,111.0,15.0,15.0,87.0,500.0,163.0,19.0
118,10.0,9.0,117.0,10.0,11.0,114.0,15.0,13.0,120.0,500.0,143.0,35.0
119,10.0,10.0,111.0,12.0,13.0,90.0,13.0,10.0,115.0,500.0,16.0,19.0
120,15.0,9.0,118.0,10.0,13.0,12.0,11.0,19.0,119.0,435.0,162.0,26.0
121,14.0,12.0,120.0,11.0,14.0,117.0,10.0,21.0,118.0,235.0,125.0,27.0
122,10.0,10.0,102.0,10.0,10.0,108.0,15.0,21.0,113.0,430.0,16.0,30.0
123,10.0,8.0,112.0,15.0,13.0,88.0,10.0,17.0,121.0,459.0,13.0,41.0
124,11.0,10.0,110.0,10.0,17.0,88.0,10.0,23.0,121.0,500.0,278.0,30.0
125,10.0,10.0,108.0,12.0,19.0,84.0,18.0,10.0,122.0,500.0,190.0,27.0
126,10.0,10.0,104.0,10.0,15.0,84.0,21.0,19.0,121.0,214.0,10.0,22.0
127,10.0,11.0,103.0,13.0,21.0,12.0,24.0,15.0,118.0,234.0,217.0,14.0
128,12.0,10.0,114.0,21.0,18.0,138.0,21.0,15.0,126.0,465.0,209.0,19.0
129,11.0,10.0,114.0,16.0,10.0,123.0,11.0,15.0,115.0,500.0,163.0,23.0
130,10.0,9.0,108.0,17.0,16.0,119.0,17.0,15.0,117.0,500.0,15.0,19.0
131,15.0,9.0,110.0,19.0,12.0,125.0,15.0,23.0,122.0,476.0,218.0,27.0
132,13.0,10.0,109.0,19.0,14.0,118.0,12.0,13.0,120.0,160.0,230.0,21.0
133,10.0,15.0,106.0,17.0,25.0,115.0,15.0,21.0,116.0,500.0,207.0,15.0
134,13.0,8.0,119.0,13.0,15.0,126.0,17.0,15.0,99.0,500.0,165.0,36.0
135,9.0,10.0,112.0,12.0,12.0,121.0,17.0,10.0,120.0,500.0,263.0,26.0
136,10.0,17.0,109.0,10.0,17.0,113.0,12.0,23.0,114.0,500.0,64.0,21.0
137,15.0,14.0,116.0,13.0,19.0,123.0,23.0,20.0,122.0,485.0,231.0,29.0
138,15.0,18.0,108.0,13.0,12.0,118.0,17.0,14.0,120.0,500.0,33.0,25.0
139,10.0,13.0,124.0,10.0,29.0,123.0,14.0,13.0,91.0,500.0,317.0,35.0
140,12.0,20.0,111.0,13.0,15.0,120.0,13.0,11.0,93.0,500.0,347.0,39.0
141,11.0,14.0,109.0,11.0,19.0,114.0,17.0,14.0,118.0,486.0,259.0,26.0
142,11.0,19.0,117.0,13.0,18.0,121.0,10.0,15.0,129.0,500.0,140.0,29.0
143,16.0,15.0,107.0,14.0,15.0,70.0,25.0,13.0,123.0,429.0,15.0,19.0
144,14.0,13.0,114.0,15.0,13.0,121.0,15.0,14.0,122.0,500.0,342.0,27.0
145,12.0,17.0,107.0,21.0,19.0,116.0,13.0,15.0,119.0,500.0,360.0,37.0
146,13.0,14.0,108.0,17.0,14.0,119.0,15.0,19.0,120.0,500.0,443.0,19.0
147,15.0,13.0,112.0,17.0,13.0,122.0,14.0,17.0,126.0,500.0,241.0,30.0
148,13.0,18.0,98.0,13.0,15.0,121.0,14.0,21.0,120.0,500.0,149.0,21.0
149,17.0,12.0,102.0,10.0,15.0,120.0,15.0,13.0,121.0,478.0,286.0,22.0
150,13.0,13.0,117.0,13.0,11.0,124.0,13.0,14.0,119.0,500.0,301.0,25.0
151,13.0,21.0,114.0,13.0,14.0,89.0,14.0,10.0,118.0,500.0,328.0,26.0
152,18.0,20.0,71.0,20.0,23.0,126.0,14.0,17.0,129.0,500.0,275.0,27.0
