seed,episode,agent,return
0,216,Improved FQL-GTA,476.0
0,217,Baseline FQL,24.0
0,217,Improved FQL-GTA,500.0
0,218,Baseline FQL,20.0
0,218,Improved FQL-GTA,500.0
0,219,Baseline FQL,17.0
0,219,Improved FQL-GTA,459.0
0,220,Baseline FQL,20.0
0,220,Improved FQL-GTA,442.0
0,221,Baseline FQL,18.0
0,221,Improved FQL-GTA,456.0
0,222,Baseline FQL,20.0
0,222,Improved FQL-GTA,500.0
0,223,Baseline FQL,21.0
0,223,Improved FQL-GTA,500.0
0,224,Baseline FQL,24.0
0,224,Improved FQL-GTA,500.0
0,225,Baseline FQL,24.0
0,225,Improved FQL-GTA,500.0
0,226,Baseline FQL,18.0
0,226,Improved FQL-GTA,500.0
0,227,Baseline FQL,16.0
0,227,Improved FQL-GTA,456.0
0,228,Baseline FQL,31.0
0,228,Improved FQL-GTA,500.0
0,229,Baseline FQL,42.0
0,229,Improved FQL-GTA,500.0
0,230,Baseline FQL,22.0
0,230,Improved FQL-GTA,500.0
0,231,Baseline FQL,15.0
0,231,Improved FQL-GTA,445.0
0,232,Baseline FQL,27.0
0,232,Improved FQL-GTA,458.0
0,233,Baseline FQL,38.0
0,233,Improved FQL-GTA,287.0
0,234,Baseline FQL,29.0
0,234,Improved FQL-GTA,479.0
0,235,Baseline FQL,28.0
0,235,Improved FQL-GTA,500.0
0,236,Baseline FQL,29.0
0,236,Improved FQL-GTA,346.0
0,237,Baseline FQL,17.0
0,237,Improved FQL-GTA,420.0
0,238,Baseline FQL,25.0
0,238,Improved FQL-GTA,319.0
0,239,Baseline FQL,16.0
0,239,Improved FQL-GTA,500.0
0,240,Baseline FQL,22.0
0,240,Improved FQL-GTA,500.0
0,241,Baseline FQL,42.0
0,241,Improved FQL-GTA,500.0
0,242,Baseline FQL,44.0
0,242,Improved FQL-GTA,500.0
0,243,Baseline FQL,25.0
0,243,Improved FQL-GTA,500.0
0,244,Baseline FQL,18.0
0,244,Improved FQL-GTA,500.0
0,245,Baseline FQL,26.0
0,245,Improved FQL-GTA,500.0
0,246,Baseline FQL,55.0
0,246,Improved FQL-GTA,500.0
0,247,Baseline FQL,22.0
0,247,Improved FQL-GTA,378.0
0,248,Baseline FQL,40.0
0,248,Improved FQL-GTA,426.0
0,249,Baseline FQL,32.0
0,249,Improved FQL-GTA,441.0
0,250,Baseline FQL,22.0
0,250,Improved FQL-GTA,500.0
0,251,Baseline FQL,74.0
0,251,Improved FQL-GTA,391.0
0,252,Baseline FQL,28.0
0,252,Improved FQL-GTA,426.0
0,253,Baseline FQL,34.0
0,253,Improved FQL-GTA,500.0
0,254,Baseline FQL,30.0
0,254,Improved FQL-GTA,500.0
0,255,Baseline FQL,42.0
0,255,Improved FQL-GTA,500.0
0,256,Baseline FQL,18.0
0,256,Improved FQL-GTA,500.0
0,257,Baseline FQL,16.0
0,257,Improved FQL-GTA,500.0
0,258,Baseline FQL,40.0
0,258,Improved FQL-GTA,500.0
0,259,Baseline FQL,23.0
0,259,Improved FQL-GTA,500.0
0,260,Baseline FQL,56.0
0,260,Improved FQL-GTA,500.0
0,261,Baseline FQL,41.0
0,261,Improved FQL-GTA,500.0
0,262,Baseline FQL,17.0
0,262,Improved FQL-GTA,500.0
0,263,Baseline FQL,26.0
0,263,Improved FQL-GTA,500.0
0,264,Baseline FQL,75.0
0,264,Improved FQL-GTA,415.0
0,265,Baseline FQL,107.0
0,265,Improved FQL-GTA,500.0
0,266,Baseline FQL,42.0
0,266,Improved FQL-GTA,500.0
0,267,Baseline FQL,41.0
0,267,Improved FQL-GTA,500.0
0,268,Baseline FQL,45.0
0,268,Improved FQL-GTA,500.0
0,269,Baseline FQL,101.0
0,269,Improved FQL-GTA,500.0
0,270,Baseline FQL,102.0
0,270,Improved FQL-GTA,500.0
0,271,Baseline FQL,40.0
0,271,Improved FQL-GTA,351.0
0,272,Baseline FQL,50.0
0,272,Improved FQL-GTA,399.0
0,273,Baseline FQL,224.0
0,273,Improved FQL-GTA,407.0
0,274,Baseline FQL,55.0
0,274,Improved FQL-GTA,377.0
0,275,Baseline FQL,74.0
0,275,Improved FQL-GTA,440.0
0,276,Baseline FQL,42.0
0,276,Improved FQL-GTA,500.0
0,277,Baseline FQL,37.0
0,277,Improved FQL-GTA,500.0
0,278,Baseline FQL,135.0
0,278,Improved FQL-GTA,500.0
0,279,Baseline FQL,37.0
0,279,Improved FQL-GTA,500.0
0,280,Baseline FQL,119.0
0,280,Improved FQL-GTA,500.0
0,281,Baseline FQL,78.0
0,281,Improved FQL-GTA,500.0
0,282,Baseline FQL,58.0
0,282,Improved FQL-GTA,500.0
0,283,Baseline FQL,60.0
0,283,Improved FQL-GTA,500.0
0,284,Baseline FQL,92.0
0,284,Improved FQL-GTA,500.0
0,285,Baseline FQL,119.0
0,285,Improved FQL-GTA,500.0
0,286,Baseline FQL,36.0
0,286,Improved FQL-GTA,500.0
0,287,Baseline FQL,225.0
0,287,Improved FQL-GTA,500.0
0,288,Baseline FQL,143.0
0,288,Improved FQL-GTA,363.0
0,289,Baseline FQL,47.0
0,289,Improved FQL-GTA,366.0
0,290,Baseline FQL,47.0
0,290,Improved FQL-GTA,391.0
0,291,Baseline FQL,47.0
0,291,Improved FQL-GTA,500.0
0,292,Baseline FQL,79.0
0,292,Improved FQL-GTA,500.0
0,293,Baseline FQL,78.0
0,293,Improved FQL-GTA,500.0
0,294,Baseline FQL,137.0
0,294,Improved FQL-GTA,500.0
0,295,Baseline FQL,55.0
0,295,Improved FQL-GTA,500.0
0,296,Baseline FQL,201.0
0,296,Improved FQL-GTA,500.0
0,297,Baseline FQL,155.0
0,297,Improved FQL-GTA,500.0
0,298,Baseline FQL,96.0
0,298,Improved FQL-GTA,500.0
0,299,Baseline FQL,113.0
0,299,Improved FQL-GTA,500.0
0,300,Baseline FQL,321.0
0,300,Improved FQL-GTA,500.0
0,301,Baseline FQL,234.0
0,301,Improved FQL-GTA,500.0
0,302,Baseline FQL,271.0
0,302,Improved FQL-GTA,401.0
0,303,Baseline FQL,134.0
0,303,Improved FQL-GTA,377.0
0,304,Baseline FQL,110.0
0,304,Improved FQL-GTA,500.0
0,305,Baseline FQL,131.0
0,305,Improved FQL-GTA,500.0
0,306,Baseline FQL,156.0
0,306,Improved FQL-GTA,500.0
0,307,Baseline FQL,205.0
0,307,Improved FQL-GTA,500.0
0,308,Baseline FQL,142.0
0,308,Improved FQL-GTA,500.0
0,309,Baseline FQL,191.0
0,309,Improved FQL-GTA,500.0
0,310,Baseline FQL,224.0
0,310,Improved FQL-GTA,500.0
0,311,Baseline FQL,226.0
0,311,Improved FQL-GTA,500.0
0,312,Baseline FQL,223.0
0,312,Improved FQL-GTA,378.0
0,313,Baseline FQL,300.0
0,313,Improved FQL-GTA,418.0
0,314,Baseline FQL,260.0
0,314,Improved FQL-GTA,500.0
0,315,Baseline FQL,217.0
0,315,Improved FQL-GTA,500.0
0,316,Baseline FQL,238.0
0,316,Improved FQL-GTA,500.0
0,317,Baseline FQL,230.0
0,317,Improved FQL-GTA,500.0
0,318,Baseline FQL,234.0
0,318,Improved FQL-GTA,500.0
0,319,Baseline FQL,255.0
0,319,Improved FQL-GTA,500.0
0,320,Baseline FQL,294.0
0,320,Improved FQL-GTA,500.0
0,321,Baseline FQL,219.0
0,321,Improved FQL-GTA,500.0
0,322,Baseline FQL,128.0
0,322,Improved FQL-GTA,500.0
0,323,Baseline FQL,304.0
0,323,Improved FQL-GTA,425.0
0,324,Baseline FQL,225.0
0,324,Improved FQL-GTA,437.0
0,325,Baseline FQL,159.0
0,325,Improved FQL-GTA,373.0
0,326,Baseline FQL,100.0
0,326,Improved FQL-GTA,500.0
0,327,Baseline FQL,257.0
0,327,Improved FQL-GTA,413.0
0,328,Baseline FQL,145.0
0,328,Improved FQL-GTA,455.0
0,329,Baseline FQL,306.0
0,329,Improved FQL-GTA,500.0
0,330,Baseline FQL,393.0
0,330,Improved FQL-GTA,500.0
0,331,Baseline FQL,213.0
0,331,Improved FQL-GTA,500.0
0,332,Baseline FQL,266.0
0,332,Improved FQL-GTA,500.0
0,333,Baseline FQL,222.0
0,333,Improved FQL-GTA,500.0
0,334,Baseline FQL,211.0
0,334,Improved FQL-GTA,500.0
0,335,Baseline FQL,334.0
0,335,Improved FQL-GTA,500.0
0,336,Baseline FQL,267.0
0,336,Improved FQL-GTA,500.0
0,337,Baseline FQL,244.0
0,337,Improved FQL-GTA,500.0
0,338,Baseline FQL,209.0
0,338,Improved FQL-GTA,500.0
0,339,Baseline FQL,215.0
0,339,Improved FQL-GTA,433.0
0,340,Baseline FQL,200.0
0,340,Improved FQL-GTA,389.0
0,341,Baseline FQL,209.0
0,341,Improved FQL-GTA,500.0
0,342,Baseline FQL,264.0
0,342,Improved FQL-GTA,500.0
0,343,Baseline FQL,321.0
0,343,Improved FQL-GTA,500.0
0,344,Baseline FQL,355.0
0,344,Improved FQL-GTA,500.0
0,345,Baseline FQL,222.0
0,345,Improved FQL-GTA,500.0
0,346,Baseline FQL,249.0
0,346,Improved FQL-GTA,500.0
0,347,Baseline FQL,149.0
0,347,Improved FQL-GTA,500.0
0,348,Baseline FQL,237.0
0,348,Improved FQL-GTA,500.0
0,349,Baseline FQL,250.0
0,349,Improved FQL-GTA,500.0
0,350,Baseline FQL,235.0
0,350,Improved FQL-GTA,500.0
0,351,Baseline FQL,282.0
0,351,Improved FQL-GTA,500.0
0,352,Baseline FQL,241.0
0,352,Improved FQL-GTA,500.0
0,353,Baseline FQL,220.0
0,353,Improved FQL-GTA,500.0
0,354,Baseline FQL,247.0
0,354,Improved FQL-GTA,500.0
0,355,Baseline FQL,257.0
0,355,Improved FQL-GTA,500.0
0,356,Baseline FQL,239.0
0,356,Improved FQL-GTA,413.0
0,357,Baseline FQL,274.0
0,357,Improved FQL-GTA,314.0
0,358,Baseline FQL,302.0
0,358,Improved FQL-GTA,450.0
0,359,Baseline FQL,239.0
0,359,Improved FQL-GTA,500.0
0,360,Baseline FQL,247.0
